HostName,Name,IP_DESCRIPTION,DefinitionRecord,IP_PLANT_AREA,IP_ENG_UNITS,IP_VALUE_FORMAT,IP_DC_SIGNIFICANCE,IP_DC_MAX_TIME_INT,IP_GRAPH_MAXIMUM,IP_GRAPH_MINIMUM,IP_STEPPED,IP_MESSAGE_SWITCH,IP_HIGH_HIGH_LIMIT,IP_HIGH_LIMIT,IP_LOW_LIMIT,IP_LOW_LOW_LIMIT,IP_LIMIT_DEADBAND,IP_TREND_VIEW_TIME,IP_REPOSITORY,IP_ARCHIVING,IP_BF_REPOSITORY,IP_BF_ARCHIVING,IP_#_OF_TREND_VALUES,IP_#_OF_BF_VALUES,CIMIO_Definition,CIMIO_Name,CIMIO_IO_RECORD_PROCESSING,CIM_IO_ASYNC,CIMIO_IO_TIMEOUT_VALUE,CIMIO_IO_FREQUENCY,CIMIO_TAG_IO_DATA_TYPE,CIMIO_TAG_IO_VALUE_RECORD,CIMIO_ORIGINAL_Name,IP_VALUE_TIME,IP_VALUE
BEJEMMS01-SV01,AvailableMemoryVals,Available Memory,IP_AnalogDef,,bara,F10. 3,,0.0,,,0.0,0.0,,,,,,0,TSK_DHIS,1,,0.0,2,0.0,,,,,,,,,AvailableMemoryVals,2025-06-24 23:20:00.000,8092.0
BEJEMMS01-SV01,DatabaseFreeSpaceVals,Available Memory,IP_AnalogDef,,bara,F10. 3,,0.0,,,0.0,0.0,,,,,,0,TSK_DHIS,1,,0.0,2,0.0,,,,,,,,,DatabaseFreeSpaceVals,2025-06-24 23:20:00.000,7151354.0
BEJEMMS01-SV01,AverageCPUTimeVals,Average CPU Time,IP_AnalogDef,,bara,F10. 3,,0.0,,,0.0,0.0,,,,,,0,TSK_DHIS,1,,0.0,2,0.0,,,,,,,,,AverageCPUTimeVals,2025-06-24 23:20:00.000,7.0
BEJEMMS01-SV01,FreeRecordCountVals,Available Memory,IP_AnalogDef,,bara,F10. 3,,0.0,,,0.0,0.0,,,,,,0,TSK_DHIS,1,,0.0,2,0.0,,,,,,,,,FreeRecordCountVals,2025-06-24 23:20:00.000,858.0
BEJEMMS01-SV01,NetworkUtilizationVals,Available Memory,IP_AnalogDef,,bara,F10. 3,,0.0,,,0.0,0.0,,,,,,0,TSK_DHIS,1,,0.0,2,0.0,,,,,,,,,NetworkUtilizationVals,2025-06-24 23:20:00.000,0.0
BEJEMMS01-SV01,PagesPerSecondVals,Available Memory,IP_AnalogDef,,bara,F10. 3,,0.0,,,0.0,0.0,,,,,,0,TSK_DHIS,1,,0.0,2,0.0,,,,,,,,,PagesPerSecondVals,2025-06-24 23:20:00.000,182.0
BEJEMMS01-SV01,D-IP_Analog,Default Base Record,IP_AnalogDef,,bara,F 7. 3,,0.0,,,0.0,0.0,,,,,,0,,0,,0.0,1,1.0,,,,,,,,,D-IP_Analog,,
BEJEMMS01-SV01,AspenCalcTrigger1,,IP_AnalogDef,,bara,F 7. 2,,0.0,,,0.0,0.0,,,,,,0,,0,,0.0,10,0.0,,,,,,,,,AspenCalcTrigger1,1998-06-24 16:29:38.700,4.0
BEJEMMS01-SV01,AI1,For test only,IP_AnalogDef,,bara,F10. 3,,0.0,100.0,0.0,0.0,0.0,10000.0,,,-10000.0,,0,TSK_DHIS,1,,0.0,2,0.0,,,,,,,,,AI1,2003-01-28 09:08:33.800,41.18671798706055
BEJEMMS01-SV01,NbTags,Nombre de grandeurs dans la BD,IP_AnalogDef,,bara,F 6. 1,,0.0,,,0.0,0.0,,,,,,0,,0,,0.0,0,0.0,,,,,,,,,NbTags,2025-06-24 23:20:01.500,4211.0
BEJEMMS01-SV01,H940_JHL_COLORATION,H940_ST-700_COLORATION,IP_AnalogDef,LABO,Apha,F 7. 2,,0.0,15.0,0.0,1.0,0.0,,,,,,0,LAB_ARC,1,,0.0,2,0.0,,,,,,,,,H940_JHL_COLORATION,2025-06-20 22:00:00.000,8.0
BEJEMMS01-SV01,H940_JHL_TURBIDITE,H940_ST-700_TURBIDITE,IP_AnalogDef,LABO,NTU,F 7. 2,,0.0,15.0,0.0,1.0,0.0,,,,,,0,LAB_ARC,1,,0.0,2,0.0,,,,,,,,,H940_JHL_TURBIDITE,,
BEJEMMS01-SV01,H620_JHL_STABNEW_30M,H620-Stab30M-E7-Crude,IP_AnalogDef,LABO,ml/10 ml,F 7. 2,,0.0,6.0,0.0,1.0,0.0,,,,,,0,LAB_ARC,1,,0.0,2,0.0,,,,,,,,,H620_JHL_STABNEW_30M,2025-06-12 22:00:00.000,1.5700000524520874
BEJEMMS01-SV01,H720_JHL_STABNEW_30M,H720-Stab30M-H17,IP_AnalogDef,LABO,ml/10 ml,F 7. 2,,0.0,6.0,0.0,1.0,0.0,,,,,,0,LAB_ARC,1,,0.0,2,0.0,,,,,,,,,H720_JHL_STABNEW_30M,,
BEJEMMS01-SV01,H770_JHL_STABNEW_30M,H770-Stab30M-H27,IP_AnalogDef,LABO,ml/10 ml,F 7. 2,,0.0,6.0,0.0,1.0,0.0,,,,,,0,LAB_ARC,1,,0.0,2,0.0,,,,,,,,,H770_JHL_STABNEW_30M,,
BEJEMMS01-SV01,H913_JHL_STABNEW_30M,H913-Stab30M-AG BATH35,IP_AnalogDef,LABO,ml/10 ml,F 7. 2,,0.0,6.0,0.0,1.0,0.0,,,,,,0,LAB_ARC,1,,0.0,2,0.0,,,,,,,,,H913_JHL_STABNEW_30M,2025-06-10 22:00:00.000,0.8799999952316284
BEJEMMS01-SV01,H917_JHL_STABNEW_30M,H917-Stab30M-CG-35/2,IP_AnalogDef,LABO,ml/10 ml,F 7. 2,,0.0,6.0,0.0,1.0,0.0,,,,,,0,LAB_ARC,1,,0.0,2,0.0,,,,,,,,,H917_JHL_STABNEW_30M,,
